Name of School,School ID,Family Involvement Score,Teachers Score,Adequate Yearly Progress Made?,Parent Engagement Score,Average Student Attendance,Average Teacher Attendance,"Elementary, Middle, or High School"
Charles G Hammond Elementary School,609966,,,No,43,95.3,95.2,ES
Marvin Camras Elementary School,610539,58,88,No,51,95.1,0.0,ES
Eliza Chappell Elementary School,609852,65,48,Yes,50,95.1,96.7,ES
Daniel R Cameron Elementary School,609835,,,No,46,92.6,96.2,ES
Sir Miles Davis Magnet Elementary Academy,610521,,,No,,93.0,94.5,ES
Luther Burbank Elementary School,609818,,,No,47,95.2,95.5,ES
Lenart Elementary Regional Gifted Center,610298,58,63,Yes,52,97.4,97.8,ES
James N Thorp Elementary School,610200,,,No,,91.8,95.9,ES
Walter Payton College Preparatory High School,609680,,,Yes,,93.4,96.1,HS
Roswell B Mason Elementary School,610056,47,36,No,51,92.4,95.0,ES
Ira F Aldridge Elementary School,609848,,,No,49,92.9,96.3,ES
Abraham Lincoln Elementary School,610038,99,70,No,56,96.0,96.4,ES
William Penn Elementary School,610123,,,No,52,91.8,95.2,ES
Christopher Columbus Elementary School,609863,,,Yes,54,95.5,96.9,ES
Socorro Sandoval Elementary School,610226,,,No,44,95.8,96.5,ES
Manley Career Academy High School,609722,39,32,No,,66.8,95.4,HS
Wilma Rudolph Elementary Learning Center,610308,,,,57,80.0,95.6,ES
Northside College Preparatory High School,609749,,,Yes,57,95.7,96.8,HS
Frank W Gunsaulus Elementary Scholastic Academy,609958,38,14,No,49,96.6,96.0,ES
Washington Irving Elementary School,610121,,,No,48,95.6,95.9,ES
Durkin Park Elementary School,610352,74,74,No,53,95.4,95.8,ES
Henry Clay Elementary School,609856,39,31,No,,95.2,96.1,ES
John Fiske Elementary School,609919,24,35,No,47,92.9,91.7,ES
Joseph E Gary Elementary School,609938,27,17,No,45,96.1,96.2,ES
Albany Park Multicultural Academy,610212,37,50,Yes,46,97.0,96.9,MS
Richard J Daley Elementary Academy,610239,40,42,No,46,94.9,96.0,ES
Edison Park Elementary School,610523,,,Yes,56,96.1,96.6,ES
James Madison Elementary School,610047,,,No,,94.9,97.7,ES
Michele Clark Academic Prep Magnet High School,610244,,,No,48,79.1,95.4,HS
Pilsen Elementary Community Academy,610013,40,37,No,,96.0,96.7,ES
Uplift Community High School,610394,50,53,No,,88.7,95.9,HS
John Calhoun North Elementary School,610243,51,88,Yes,43,95.9,96.5,ES
Granville T Woods Math & Science Academy Elementary School,610285,,,No,48,91.9,95.2,ES
Alexander Graham Bell Elementary School,609799,88,51,No,,96.3,95.9,ES
Morton School of Excellence,610257,49,95,No,52,93.6,97.1,ES
Morgan Park High School,609725,,,No,,84.2,94.6,HS
Bronzeville Scholastic Academy High School,610381,38,15,No,51,92.3,95.6,HS
Willa Cather Elementary School,610251,70,83,No,56,94.9,96.4,ES
William J Bogan High School,609698,,,No,41,75.2,94.3,HS
Emil G Hirsch Metropolitan High School,609712,46,50,No,,84.8,95.4,HS
Theophilus Schmid Elementary School,610178,,,No,41,92.1,96.3,ES
Salmon P Chase Elementary School,609853,28,27,No,,95.4,95.8,ES
Louis A Agassiz Elementary School,609773,,,No,56,95.2,96.8,ES
William C Reavis Math & Science Specialty Elementary School,610143,6,15,No,45,93.5,94.8,ES
Fairfield Elementary Academy,610057,24,25,No,,93.4,93.3,ES
Frederic Chopin Elementary School,609854,99,99,Yes,49,96.9,96.0,ES
Ninos Heroes Elementary Academic Center,609961,,,No,48,93.9,95.0,ES
George B McClellan Elementary School,610062,,,No,53,93.2,96.0,ES
Austin Polytechnical Academy High School,610501,,,No,,70.1,95.2,HS
Oriole Park Elementary School,610105,,,No,60,96.5,95.5,ES
Andrew Carnegie Elementary School,609837,51,31,No,49,94.6,94.4,ES
John L Marsh Elementary School,610054,53,48,No,50,95.7,95.5,ES
John Whistler Elementary School,610225,32,21,No,52,92.4,97.0,ES
Kate S Buckingham Special Education Center,610280,,,,,83.4,94.4,ES
World Language Academy High School,610392,33,49,No,50,91.6,96.0,HS
Phillip D Armour Elementary School,609777,,,No,53,93.9,95.8,ES
Asa Philip Randolph Elementary School,609941,,,No,45,92.1,95.3,ES
Andrew Jackson Elementary Language Academy,610060,,,Yes,,97.4,96.1,ES
Jane Addams Elementary School,609772,50,44,No,53,96.0,96.8,ES
Multicultural Academy of Scholarship,610385,,,No,56,89.2,96.7,HS
Blair Early Childhood Center,610087,64,66,,58,80.2,94.8,ES
Alex Haley Elementary Academy,609808,,,No,47,94.9,94.7,ES
George Armstrong International Studies Elementary School,609779,57,45,No,,96.3,96.3,ES
Mason High School,610535,,,,50,90.4,0.0,HS
Thomas Drummond Elementary School,609896,,,Yes,58,95.2,96.7,ES
Douglas Taylor Elementary School,610198,,,No,42,95.1,94.3,ES
Edward Coles Elementary Language Academy,609862,43,53,No,50,95.1,95.0,ES
Louis Pasteur Elementary School,610117,,,No,,95.0,95.8,ES
Marie Sklodowska Curie Metropolitan High School,609756,35,39,No,,85.0,95.0,HS
George Washington High School,609739,53,46,No,,80.2,95.1,HS
William G Hibbard Elementary School,609994,,,No,49,96.5,96.9,ES
Robert Lindblom Math & Science Academy High School,610391,,,No,55,92.7,95.9,HS
Fernwood Elementary School,609917,37,50,No,48,93.4,96.1,ES
Williams Multiplex Elementary School,610232,,,No,50,91.6,95.9,ES
George Leland Elementary School,610305,71,77,No,60,92.6,94.9,ES
Amelia Earhart Options for Knowledge Elementary School,610316,63,54,Yes,,96.3,95.4,ES
Oscar DePriest Elementary School,610367,39,39,No,47,92.7,95.6,ES
Benito Juarez Community Academy High School,609764,53,48,No,,83.7,95.8,HS
Countee Cullen Elementary School,610004,,,No,,94.1,96.3,ES
John H Kinzie Elementary School,610026,,,No,50,95.4,95.3,ES
Oliver Wendell Holmes Elementary School,609997,,,No,48,87.0,92.4,ES
Langston Hughes Elementary School,610368,54,48,No,46,90.0,95.5,ES
Evergreen Academy Middle School,610319,58,65,No,43,96.1,97.4,MS
Hyde Park Academy High School,609713,39,41,No,,70.5,94.2,HS
John Marshall Metropolitan High School,609723,52,42,No,,74.1,95.8,HS
Richard Henry Lee Elementary School,610291,,,No,,95.0,95.3,ES
Burnham Elementary Inclusive Academy,609821,77,71,Yes,54,95.5,96.9,ES
Josiah Pickard Elementary School,610129,36,34,No,48,95.8,96.4,ES
Charles S Deneen Elementary School,609883,33,49,No,,93.8,97.1,ES
Jensen Elementary Scholastic Academy,610271,41,40,No,46,93.1,95.3,ES
Anthony Overton Elementary School,610277,,,No,52,90.5,94.9,ES
Helge A Haugan Elementary School,609972,39,30,No,46,96.2,94.6,ES
Scott Joplin Elementary School,609805,29,34,No,52,95.0,94.6,ES
Stone Elementary Scholastic Academy,610191,,,Yes,55,96.4,96.0,ES
Francis Parkman Elementary School,610114,25,28,No,,90.6,95.3,ES
Friedrich W von Steuben Metropolitan Science High School,609737,39,29,No,,87.0,95.6,HS
Rachel Carson Elementary School,609842,36,36,No,50,97.6,97.7,ES
Kate S Kellogg Elementary School,610016,,,Yes,53,96.3,95.4,ES
Melville W Fuller Elementary School,609928,,,No,51,91.8,93.9,ES
Harriet Beecher Stowe Elementary School,610192,,,No,44,93.8,94.7,ES
James Shields Elementary School,610174,,,No,50,97.0,97.0,ES
Southside Occupational Academy High School,609745,52,60,,63,85.5,95.2,HS
Dewey Elementary Academy of Fine Arts,609885,,,No,52,90.7,95.5,ES
Isabelle C O'Keeffe Elementary School,610103,,,No,40,92.1,94.6,ES
Edmond Burke Elementary School,609819,,,No,48,89.3,95.5,ES
Virgil Grissom Elementary School,609944,66,87,No,,95.5,96.4,ES
Lyman A Budlong Elementary School,609817,56,41,No,50,95.4,95.7,ES
Chicago Military Academy High School,609754,,,No,,90.3,95.6,HS
Manuel Perez Elementary School,609872,,,No,52,95.9,96.6,ES
Skinner North,610534,,,Yes,64,96.4,97.8,ES
Eric Solorio Academy High School,610543,54,64,,53,92.2,0.0,HS
Neal F Simeon Career Academy High School,609692,,,No,,78.6,94.3,HS
John Hancock College Preparatory High School,609694,44,42,No,50,78.2,95.9,HS
Carl von Linne Elementary School,610039,49,44,No,50,95.8,96.3,ES
Henry R Clissold Elementary School,609861,61,51,No,52,95.1,96.9,ES
Johnnie Colemon Elementary Academy,610199,,,No,53,95.9,95.4,ES
Roald Amundsen High School,609695,44,41,No,43,81.1,95.9,HS
